kljuc_igre,kljuc_razvijalca,razvijalec
22775,6664722,Warner Bros. Interactive Entertainment
9650,6664746,Atod
115178,6664804,Cyanide Studio
23269,6664807,Genterprise
90111,6664809,Turmoil Games
9467,6664810,Coyote Developments
72656,6664827,Mimimi Productions
23603,6664870,War Drum Studios
11984,6664955,TBC
24231,6664970,Digital Confectioners
6477,6665013,Code Mystics
23,6665028,SCE Santa Monica Studio
24931,6665090,Click Entertainment
4664,6665091,Sega of America
9696,6665096,Tragnarion Studios
7750,6665112,K2 (Japan)
16019,6665131,Demiurge Studios
89159,6665182,Ubisoft San Francisco
3921,6665247,Stalker Entertainment
34003,6665302,Santa Monica Studio
15569,6665321,Valhalla Game Studio
8835,6665334,Creature Labs
17903,6665336,Creative Reality
73995,6665502,Alice Soft
11274,6665558,Kronos Digital Entertainment
87282,6665591,Deck13 Interactive
15781,6665607,Teyon
119171,6665752,Winged Cloud
30607,6665793,Nitroplus
15818,6665830,Cavia Inc.
6347,6665897,Psyonix
34434,6666044,Straight Right
8103,6666103,KTX Software
44102,6666194,Fujicom
14285,6666202,Activision Publishing
31870,6666203,Critical Force Entertainment
6909,6666233,AKI
32181,6666264,The Coalition
33408,6666499,Spilt Milk Studios
12169,6666599,Bluepoint Games
117898,6666606,MidBoss
33933,6666626,Offworld industries
34325,6666700,Lockwood Publishing
34792,6666773,BaseSon
73100,6666811,THE BROTHERHOOD
56291,6667108,Hangar 13
5198,6667140,FASA Studio
10,6667168,2K Australia
57704,6667169,Blind Squirrel
10,6667172,2K Boston
59025,6667217,Question
17769,6667224,Crate Entertainment
4206,6667260,Ubi Soft Milan
11484,6667283,Nerve Software
7730,6667426,Digital Mayhem
112431,6667643,Pinokl Games
117896,6667697,Ink Stains Games
850,6667719,Namco Bandai Games
3953,6667789,Nightdive Studios
12866,6667798,Comcept
9503,6667914,Devil's Details
71456,6667976,Le Cartel Studio
16450,6668108,ZeniMax Online Studios
72853,6668230,NoWay Studio
13368,6668302,Design Factory
118188,6668447,Warm Lamp Games
9573,6668542,BlueEagle Productions
5799,6668667,Rockstar Vienna
50068,6668686,Chime
16194,6668802,GameCO Studios
7351,6668865,H.I.C.
116017,6668968,Blue Manchu
7398,6669014,Propaganda Games
95490,6669019,SureAI
118485,6669160,Blue Wizard Digital
11,6669167,Electronic Arts Redwood Shores Studio
78335,6669229,Gargoyle Mechanics
78632,6669264,Badfly Interactive
7322,6669334,Ubisoft Annecy
79071,6669337,CtrlMovie
891,6669371,Eidos Montréal
117541,6669438,Expansive Worlds
80222,6669614,The Deep End Games
4542,66610073,Team Silent
12474,66610218,Index+
104432,66610608,RedBedlam
72891,66610690,Phosphor Games
17105,66610725,Bend Studio
115348,66610816,Neko Climax Studios
240,66610852,Iguana UK
2770,66610891,Raster Productions
86261,66611184,Deck Nine
5582,66611252,SCE Studio Cambridge
11943,66611679,Tecmo Koei
11218,66611698,Hardlight
527,66611894,HexaDrive
5163,66611949,Climax Solent
118000,66612139,Gunfire Games
5844,66612147,Gray Matter Interactive Studios
23030,66612416,Infinitap Games
40443,66612557,Wraith Corporation
13191,66612806,Acclaim Studios Teesside
3602,66612815,Tigon Studios
14131,66612958,Tycoon
404,66612969,Tremor Entertainment
7722,66612992,HIP Games
93917,66613294,VCA Interactive
8125,66613910,DiezelPower
6319,66613940,Mercury Steam Entertainment
124822,66614023,Painted Black Games
31868,66614051,Ideaworks Game Studio
97779,66614086,Balcony Team
9858,66614173,Ikusabune Inc.
805,66614250,Blue Omega Entertainment
8087,66614283,Innerloop Studios
115632,66614363,Nine Dots Studio
8076,66614845,Capcom Game Studio Vancouver
53510,66614952,Weappy Studio
101756,66615002,Inscape
12963,66615163,Rebellion Derby
33265,66615174,Crispy's!
8523,66615187,Guildford Studio
3332,66615435,Climax London
103888,66615447,Plastic Reality Technologies
