kljuc_igre,kljuc_razvijalca,razvijalec
1172,66642,Iguana Entertainment
7656,66642,Iguana Entertainment
14326,66642,Iguana Entertainment
4633,66643,Naughty Dog
10001,66643,Naughty Dog
69,66644,Creative Assembly
34602,66644,Creative Assembly
29124,66644,Creative Assembly
11882,66644,Creative Assembly
2189,66645,Funcom
8640,66645,Funcom
32171,66645,Funcom
1,66646,Gearbox Software
71,66646,Gearbox Software
3719,66646,Gearbox Software
5380,66646,Gearbox Software
4180,66646,Gearbox Software
4179,66646,Gearbox Software
6167,66646,Gearbox Software
925,66646,Gearbox Software
4182,66646,Gearbox Software
4179,66646,Gearbox Software
4178,66646,Gearbox Software
4181,66646,Gearbox Software
5727,66646,Gearbox Software
10220,66646,Gearbox Software
9581,66646,Gearbox Software
11068,66646,Gearbox Software
18747,66646,Gearbox Software
11913,66646,Gearbox Software
11057,66646,Gearbox Software
22805,66646,Gearbox Software
147,66646,Gearbox Software
11912,66646,Gearbox Software
11914,66646,Gearbox Software
13118,66646,Gearbox Software
11925,66646,Gearbox Software
6168,66646,Gearbox Software
61708,66646,Gearbox Software
124669,66646,Gearbox Software
5715,66648,Criterion Games
5715,66648,Criterion Games
19170,66649,MercurySteam
10700,66649,MercurySteam
11532,66649,MercurySteam
10454,66649,MercurySteam
89,66651,Electronic Arts Los Angeles
83,66654,Bethesda Game Studios
6308,66654,Bethesda Game Studios
2382,66654,Bethesda Game Studios
6306,66654,Bethesda Game Studios
8575,66654,Bethesda Game Studios
11480,66654,Bethesda Game Studios
7871,66654,Bethesda Game Studios
7943,66654,Bethesda Game Studios
12200,66654,Bethesda Game Studios
23266,66654,Bethesda Game Studios
11881,66654,Bethesda Game Studios
29309,66654,Bethesda Game Studios
64872,66654,Bethesda Game Studios
12201,66654,Bethesda Game Studios
16650,66654,Bethesda Game Studios
13404,66654,Bethesda Game Studios
13405,66654,Bethesda Game Studios
16637,66654,Bethesda Game Studios
6341,66657,Bizarre Creations
8110,66657,Bizarre Creations
93,66658,Radical Entertainment
6333,66658,Radical Entertainment
5091,66658,Radical Entertainment
8807,66658,Radical Entertainment
5108,66658,Radical Entertainment
7672,66658,Radical Entertainment
5023,66658,Radical Entertainment
7268,66658,Radical Entertainment
5907,66658,Radical Entertainment
9373,66658,Radical Entertainment
11993,66658,Radical Entertainment
94,66659,Insomniac Games
911,66659,Insomniac Games
8012,66659,Insomniac Games
13763,66659,Insomniac Games
15621,66659,Insomniac Games
623,66661,Treyarch
924,66661,Treyarch
5078,66661,Treyarch
9557,66661,Treyarch
7985,66661,Treyarch
29320,66661,Treyarch
9558,66661,Treyarch
11311,66661,Treyarch
12728,66661,Treyarch
13396,66661,Treyarch
31868,66661,Treyarch
26815,66661,Treyarch
4718,66661,Treyarch
875,66662,GSC Game World
98,66662,GSC Game World
772,66662,GSC Game World
295,66666,Relic
3707,66668,Sega
3705,66668,Sega
3704,66668,Sega
6359,66668,Sega
7351,66668,Sega
8178,66668,Sega
2408,66678,DMA Design
7822,66678,DMA Design
887,66684,Blizzard Entertainment
736,66684,Blizzard Entertainment
19975,66684,Blizzard Entertainment
11149,66684,Blizzard Entertainment
11525,66684,Blizzard Entertainment
735,66684,Blizzard Entertainment
17094,66684,Blizzard Entertainment
17127,66684,Blizzard Entertainment
115639,66684,Blizzard Entertainment
19976,66684,Blizzard Entertainment
13800,66684,Blizzard Entertainment
145,66685,Infinity Ward
6299,66685,Infinity Ward
2488,66685,Infinity Ward
625,66685,Infinity Ward
6865,66685,Infinity Ward
10513,66685,Infinity Ward
7842,66685,Infinity Ward
7986,66685,Infinity Ward
10503,66685,Infinity Ward
14039,66685,Infinity Ward
156,66690,4A Games
7212,66690,4A Games
12143,66690,4A Games
15374,66690,4A Games
15373,66690,4A Games
14348,66691,Omega Force
13518,66695,Cyanide
13520,66695,Cyanide
11977,66695,Cyanide
9464,66698,Rocksteady Studios
766,66699,Rockstar Games
121258,66699,Rockstar Games
765,66699,Rockstar Games
767,66699,Rockstar Games
3406,666104,Data East
12246,666106,TOSE
28377,666106,TOSE
10253,666106,TOSE
125373,666110,SNK
4033,666112,Midway Games
4566,666112,Midway Games
2768,666112,Midway Games
6477,666112,Midway Games
